Wall time,Step,Value
1615414369.5956008,190,-13.001134872436523
1615414460.7308044,430,-3.5075602531433105
1615414471.6652184,460,-6.788992404937744
1615414510.2762778,570,-9.850695610046387
1615414560.2822714,720,6.795033931732178
1615414570.3837945,750,1.5937683582305908
1615414637.1182818,950,3.9424755573272705
1615414843.6165373,1560,-4.5287394523620605
1615414853.9363585,1590,-7.3328938484191895
1615414882.4707997,1680,0.9167742729187012
1615415082.4935415,2300,5.444840431213379
1615415098.478365,2350,-4.344223976135254
1615415162.7771695,2560,-11.20715045928955
1615415176.825103,2610,4.410777568817139
1615415197.047552,2680,-5.040831565856934
1615415214.1212378,2740,-6.619384765625
1615415314.9708924,3090,-0.5214109420776367
1615415321.4174383,3110,-5.846922397613525
1615415344.4331076,3190,-0.5866394639015198
1615415425.4112976,3480,-1.3073877096176147
1615415484.6716242,3680,-3.174738883972168
1615415635.684411,4220,-6.012086868286133
1615415638.6291137,4230,5.346465110778809
1615415694.6506517,4430,2.075732469558716
1615415702.953799,4460,3.177877187728882
1615415747.575482,4610,-4.4174699783325195
1615415757.262913,4640,-2.9510080814361572
1615415759.9724681,4650,-0.7506143450737
1615415785.0922027,4750,2.9880642890930176
1615415957.159525,5370,2.4482100009918213
1615416030.721307,5640,-1.8060147762298584
1615416076.703833,5800,-1.2732998132705688
1615416095.2842462,5870,-3.1217434406280518
1615416098.543759,5880,-0.47249284386634827
1615416192.4166298,6210,3.9105799198150635
1615416233.0026898,6350,-4.76698637008667
1615416256.0914962,6430,-2.325910806655884
1615416260.7895272,6450,5.473731517791748
1615416268.1569526,6480,-10.557275772094727
1615416274.2223399,6500,-2.787235736846924
1615416307.9841962,6620,-5.554266452789307
1615416336.721553,6720,-2.528717041015625
1615416453.9318614,7150,-3.293250322341919
1615416476.3066235,7230,4.54578971862793
1615416498.1636364,7310,-0.8099846243858337
1615416557.7557611,7530,4.270549297332764
1615416568.760251,7570,-1.9136877059936523
1615416594.4356382,7660,-5.27916145324707
1615416606.239095,7700,6.193098545074463
1615416610.6979911,7720,-0.6911107897758484
1615416647.9150517,7860,3.4860541820526123
1615416652.6400347,7880,7.626731872558594
1615416667.537857,7930,2.9520463943481445
1615416672.100872,7950,2.0994954109191895
1615416693.453872,8030,-1.9996534585952759
1615416709.5355017,8090,-2.759122371673584
1615416713.0832584,8100,-7.760884761810303
1615416789.1907775,8370,-0.21675415337085724
1615416977.7653022,9080,2.8763763904571533
1615416982.733309,9100,4.767909526824951
1615417070.1617856,9430,7.600802421569824
1615417079.2288725,9460,3.7141482830047607
1615417124.8416278,9630,-5.4869208335876465
1615417149.7193,9720,-2.5522069931030273
1615417152.2465365,9730,1.8056472539901733
1615417167.2255995,9790,7.87988805770874
1615417169.9605153,9800,7.6993021965026855
1615417184.0856233,9850,0.12565703690052032
1615417234.4345448,10030,2.0191712379455566
1615417242.8915207,10060,0.6417164206504822
1615417266.8383563,10150,2.7362239360809326
1615417396.8680942,10640,0.8240106701850891
1615417404.496473,10670,-6.288712024688721
1615417420.846705,10730,1.7373417615890503
1615417437.7966187,10790,2.943532705307007
1615417451.5381708,10840,-1.914587378501892
1615417478.6776106,10940,3.1190459728240967
1615417495.3778164,11000,0.813890814781189
1615417508.1584675,11050,0.8379628658294678
1615417650.1159227,11570,-0.7999387383460999
1615417663.1604812,11620,-7.307351589202881
1615417665.4364142,11630,6.484752655029297
1615417713.7770898,11810,-7.532201290130615
1615417749.9766216,11940,3.0134425163269043
1615417786.125667,12070,-7.5364508628845215
1615417889.3160832,12450,3.2554893493652344
1615417933.0890908,12620,4.1825666427612305
1615417982.107975,12820,-4.556230068206787
1615417996.4662063,12880,3.496835231781006
1615418012.4530299,12950,5.675967216491699
1615418067.3572285,13170,4.864173889160156
1615418075.339733,13200,-4.557201385498047
1615418101.570359,13310,-2.459395408630371
1615418108.5064507,13340,8.611660957336426
1615418116.482339,13370,-3.1464409828186035
1615418118.8506517,13380,-2.4489455223083496
1615418241.4573252,13860,7.632622241973877
1615418257.1455078,13920,5.072308540344238
1615418259.3822746,13930,8.186714172363281
1615418314.6670647,14150,6.132803916931152
1615418345.9711096,14270,2.2840323448181152
1615418373.7661123,14370,-5.428191184997559
1615418449.558321,14670,5.418221473693848
1615418477.643908,14780,1.88627028465271
1615418501.2577968,14860,-4.5388288497924805
1615418516.4500678,14920,-0.014670329168438911
1615418597.9577212,15240,7.619434356689453
1615418608.0384092,15280,-3.2568817138671875
1615418670.1073153,15530,1.655559778213501
1615418713.47081,15690,-0.5740262269973755
1615418716.23948,15700,1.872243881225586
1615418754.3024445,15850,-12.539306640625
1615418764.4324455,15890,4.607929229736328
1615418806.4683273,16060,7.63602876663208
1615418898.1461804,16410,-3.2913007736206055
1615418919.7413282,16490,1.900006890296936
1615418970.2063088,16690,8.347274780273438
1615419006.180679,16830,3.2028872966766357
1615419030.824439,16920,8.38454818725586
1615419047.0787864,16980,2.934030294418335
1615419051.9939492,17000,7.962308883666992
1615419059.7925456,17030,1.9363439083099365
1615419076.7138135,17100,0.08679810911417007
1615419101.462346,17190,3.7337987422943115
1615419135.390651,17330,0.11429282277822495
1615419141.0948308,17350,-2.159505605697632
1615419148.0550494,17380,-6.449861526489258
1615419169.2135649,17460,2.3830888271331787
1615419172.2021244,17470,5.623847007751465
1615419243.3278108,17760,-1.5257939100265503
1615419258.8065324,17820,3.8545193672180176
1615419320.6218827,18060,7.598587989807129
1615419373.849369,18270,2.6507248878479004
1615419418.6521277,18450,3.6756532192230225
1615419440.924522,18540,0.4342234134674072
1615419472.1737387,18670,8.208383560180664
1615419480.7806842,18700,-2.1467840671539307
1615419503.4748487,18780,4.266040325164795
1615419606.4191382,19180,4.938775062561035
1615419648.8473616,19350,-4.852865219116211
1615419677.0105343,19450,0.6052505373954773
1615419684.7921045,19480,7.455148696899414
1615419742.2176902,19680,5.976420879364014
1615419784.892511,19840,-4.162079334259033
1615419833.5268595,20020,-0.5472766160964966
1615419845.1813347,20060,8.235064506530762
1615419867.4769614,20140,-4.843934535980225
1615419914.5192356,20310,4.697889804840088
1615419930.7920673,20370,0.08791464567184448
1615419997.0503302,20610,8.385824203491211
1615420033.205832,20740,1.6538805961608887
1615420040.5361576,20770,7.698436260223389
1615420043.2364316,20780,2.563659191131592
1615420064.3167655,20860,-1.154552936553955
1615420074.6286604,20900,-10.296260833740234
1615420093.3045888,20970,5.892793655395508
1615420131.235292,21120,-0.7326495051383972
1615420216.3608491,21460,2.7872514724731445
1615420227.682012,21500,6.024358749389648
1615420244.416209,21570,4.074117660522461
1615420267.5131352,21660,4.1586151123046875
1615420326.3845117,21880,3.4819018840789795
1615420336.0683672,21920,5.380105972290039
1615420356.0859516,22000,-2.242222547531128
1615420378.294882,22080,5.890900135040283
1615420388.1432912,22120,4.958841323852539
1615420440.3193493,22320,-1.9785367250442505
1615420453.1079946,22370,8.549957275390625
1615420455.7384756,22380,2.0674121379852295
1615420461.2131348,22400,2.7941336631774902
1615420469.165217,22430,-2.368830919265747
1615420502.4436927,22550,8.033122062683105
1615420510.95089,22580,6.20111608505249
1615420524.6343517,22630,3.1886377334594727
1615420572.9435542,22820,-0.14995068311691284
1615420612.8604562,22980,4.6026291847229
1615420639.1517344,23080,2.4238789081573486
1615420669.4240422,23200,-0.8194209933280945
1615420735.980097,23460,2.683694839477539
1615420762.6611083,23550,-0.19009196758270264
1615420859.941159,23900,2.9830546379089355
1615420863.5786266,23910,-2.571730136871338
1615420868.3581743,23930,5.6787824630737305
1615420987.5278127,24370,-1.6356779336929321
1615421009.5056965,24450,4.071631908416748
1615421033.6430364,24540,4.968088150024414
1615421038.6596074,24560,-2.035346508026123
1615421051.2710626,24610,-0.2916489243507385
1615421117.0099225,24860,8.012412071228027
1615421119.2880816,24870,7.517971992492676
1615421146.9539616,24970,5.624636173248291
1615421153.2133384,24990,-1.9781991243362427
1615421167.693653,25040,4.548997402191162
1615421207.6477573,25180,2.253147840499878
1615421223.9359813,25240,0.17357978224754333
1615421249.3392043,25330,-4.049120903015137
1615421290.1228757,25480,1.4532876014709473
1615421301.8381217,25520,6.260807514190674
1615421307.271578,25540,8.025813102722168
1615421378.6667702,25790,7.967615127563477
1615421435.7083738,26010,5.067543029785156
1615421450.2178786,26070,8.376110076904297
1615421494.3474395,26240,7.349856376647949
1615421508.7551534,26300,6.763679027557373
1615421578.2648215,26560,8.003853797912598
1615421635.8792913,26790,5.473165512084961
1615421653.9333317,26860,-4.755190372467041
1615421666.5916193,26910,-6.2658843994140625
1615421699.4204712,27040,-3.3229691982269287
1615421718.1351664,27110,7.805231094360352
1615421760.7687624,27260,3.1649973392486572
1615421800.4075522,27410,4.965824127197266
1615421836.0952692,27550,4.020636558532715
1615421928.2633085,27900,5.935878753662109
