Wall time,Step,Value
1615397699.7073166,60,-35.75408935546875
1615397798.1578457,160,-0.3574530780315399
1615397822.942561,190,-7.153902053833008
1615397862.6659193,250,-5.758605003356934
1615397970.041778,410,-1.0657380819320679
1615397985.5086725,430,-4.270665645599365
1615398001.21795,450,-9.70657730102539
1615398008.2996032,460,-0.1361086219549179
1615398023.2221014,480,-3.9108574390411377
1615398066.3995225,540,-8.315427780151367
1615398072.5008118,550,-6.346518516540527
1615398087.4477317,570,2.6023623943328857
1615398144.8255868,660,-0.04119044169783592
1615398184.7326398,720,-5.40000581741333
1615398192.4122028,730,-3.0244181156158447
1615398199.6558824,740,-1.5186703205108643
1615398206.211559,750,4.875975131988525
1615398239.0381618,800,5.641103744506836
1615398295.9115279,880,2.6831469535827637
1615398352.915914,950,-14.23050308227539
1615398412.1582313,1030,-4.512904167175293
1615398432.1228266,1060,4.068845272064209
1615398438.1981502,1070,-2.7992653846740723
1615398481.101117,1140,0.29303812980651855
1615398510.8593278,1190,7.666822910308838
1615398563.136266,1270,-3.376673936843872
1615398593.20384,1310,-10.80258560180664
1615398655.6492786,1400,0.9836218357086182
1615398671.3062193,1420,2.9897210597991943
1615398676.8681731,1430,-6.549243927001953
1615398724.302708,1510,-5.387675762176514
1615398756.2986023,1560,-1.4213995933532715
1615398773.6602278,1590,1.256986141204834
1615398835.9781842,1680,3.129272222518921
1615398843.9929404,1690,4.4356608390808105
1615398911.8811233,1780,-8.69641399383545
1615398919.8078845,1790,-13.41871166229248
1615398951.7004008,1840,5.374453544616699
1615398963.5033903,1860,6.776492595672607
1615398969.2405715,1870,8.189605712890625
1615398987.5862265,1910,7.940542221069336
1615399029.407035,1990,5.86555814743042
1615399074.4750338,2070,0.9310543537139893
1615399080.8600004,2080,1.2344496250152588
1615399086.659509,2090,-2.2224812507629395
1615399114.2242656,2130,5.672486782073975
1615399177.5450196,2240,-4.42957067489624
1615399204.1240268,2300,3.412060022354126
1615399229.9994192,2350,8.183022499084473
1615399247.3775008,2380,1.2029719352722168
1615399309.5719612,2500,-1.139318585395813
1615399341.925494,2560,8.005332946777344
1615399362.1082275,2610,8.019132614135742
1615399374.395266,2640,5.852341651916504
1615399395.0913312,2680,2.515087604522705
1615399415.449435,2720,7.6268157958984375
1615399426.0055034,2740,-1.950984001159668
1615399530.9578276,2930,4.212719917297363
1615399561.6614404,2980,-3.3866288661956787
1615399566.1352534,2990,7.97792911529541
1615399593.239184,3040,8.206990242004395
1615399614.9435015,3080,0.7770126461982727
1615399619.1292927,3090,5.989231109619141
1615399627.7921197,3110,4.86483907699585
1615399663.533524,3190,2.6434166431427
1615399668.7067773,3200,5.848330974578857
1615399697.7025301,3260,2.199876308441162
1615399702.1330304,3270,3.089961290359497
1615399708.8454592,3280,3.903822898864746
1615399722.4349184,3310,8.139242172241211
1615399764.5458117,3400,3.5427069664001465
1615399796.6860354,3480,5.962170124053955
1615399876.2740786,3640,3.346646308898926
1615399901.264873,3680,0.1763538420200348
1615399940.0024357,3740,0.5314444303512573
1615399960.5337243,3780,2.423675537109375
1615399970.5748022,3800,1.8559640645980835
1615400022.9707022,3920,4.980660438537598
1615400027.987346,3930,8.215619087219238
1615400109.6253426,4090,4.491291046142578
1615400166.3752148,4220,3.7728936672210693
1615400172.2691472,4230,8.11143970489502
1615400180.637789,4250,1.789926290512085
1615400209.6200688,4310,8.464454650878906
1615400242.9667234,4400,6.314266204833984
1615400252.7685146,4420,6.1656293869018555
1615400256.2064693,4430,3.28826904296875
1615400268.844633,4460,8.007804870605469
1615400297.4622226,4520,5.372275352478027
1615400332.1722932,4610,2.1238224506378174
1615400343.914841,4640,5.123495101928711
1615400346.7062356,4650,8.115787506103516
1615400381.5266798,4740,3.8016834259033203
1615400386.173766,4750,4.56472635269165
1615400455.4638603,4900,4.642656326293945
1615400466.1334927,4920,8.303363800048828
1615400476.4659169,4940,7.908020973205566
1615400537.7134893,5080,8.255724906921387
1615400555.6120505,5130,8.068785667419434
1615400567.0745265,5150,7.5722270011901855
1615400580.0153637,5180,8.297249794006348
1615400616.7975245,5260,3.5149967670440674
1615400647.7831888,5320,5.050877094268799
1615400656.7220957,5340,6.614687919616699
1615400668.6991458,5370,3.950281858444214
1615400690.9772806,5430,8.146808624267578
1615400714.7502627,5480,2.095716953277588
1615400756.1691098,5580,3.1975326538085938
1615400763.1450884,5600,3.9929518699645996
1615400778.454801,5640,-0.9483890533447266
1615400804.0991805,5700,5.2166924476623535
1615400824.207016,5740,5.134322643280029
1615400827.8661537,5750,6.352907180786133
1615400845.1796834,5800,8.651168823242188
1615400856.22836,5820,4.3909807205200195
1615400860.0849738,5830,8.107054710388184
1615400866.495765,5850,6.453714370727539
1615400873.6392276,5870,7.32448673248291
1615400876.7718937,5880,3.958767890930176
1615400897.9033124,5930,8.150535583496094
1615400901.282777,5940,5.662815570831299
1615400941.950802,6030,-2.7111706733703613
1615400972.1787908,6090,7.780031681060791
1615400981.3508434,6110,8.773584365844727
1615401000.7559102,6160,8.349852561950684
1615401021.4858305,6210,7.562575340270996
1615401030.0082018,6230,6.647207260131836
1615401088.7163768,6350,8.647259712219238
1615401126.9171028,6420,6.466217041015625
1615401131.028818,6430,2.8460488319396973
1615401141.894364,6450,3.0440304279327393
1615401147.871412,6460,6.780493259429932
1615401150.6225388,6470,8.34147834777832
1615401154.6221573,6480,6.774111270904541
1615401163.2126245,6500,8.579519271850586
1615401175.1809862,6530,8.124393463134766
1615401191.296846,6570,4.040140151977539
1615401212.4475954,6620,1.377685785293579
1615401224.3141549,6650,6.709578037261963
1615401244.4329107,6690,4.015317440032959
1615401258.6593945,6720,0.68741774559021
1615401262.9630532,6730,2.3370769023895264
1615401268.241261,6750,8.16185474395752
1615401270.9641383,6760,6.247363090515137
1615401286.1611345,6790,8.288273811340332
1615401290.6711311,6800,8.080571174621582
1615401303.0556135,6830,-2.0321266651153564
